f_Hz,Sn_Hz^-1
5.693478550604366e-05,5.922278048405997e-32
5.726363850997374e-05,5.722639734210536e-32
5.7594390955470855e-05,5.529747756883683e-32
5.792705381363196e-05,5.343373758242858e-32
5.826163811892308e-05,5.163297118561657e-32
5.8598154969544416e-05,4.98930469413544e-32
5.893661552779937e-05,4.8211905637503515e-32
5.927703102046402e-05,4.6587557837556246e-32
5.961941273915982e-05,4.501808151445529e-32
5.996377204072855e-05,4.3501619764696063e-32
6.031012034760816e-05,4.203637859999229e-32
6.0658469148212616e-05,4.062062481385836e-32
6.100882999731202e-05,3.9252683920582455e-32
6.136121451641682e-05,3.793093816411714e-32
6.17156343941625e-05,3.665382459452943e-32
6.20721013866976e-05,3.5419833209705484e-32
6.24306273180741e-05,3.422750516010037e-32
6.279122408063868e-05,3.307543101439699e-32
6.315390363542825e-05,3.1962249083996475e-32
6.351867801256583e-05,3.088664380435599e-32
6.38855593116599e-05,2.984734417123433e-32
6.42545597022062e-05,2.884312222998599e-32
6.462569142399045e-05,2.7872791616107216e-32
6.49989667874954e-05,2.69352061452851e-32
6.537439817430813e-05,2.6029258451281115e-32
6.575199803753178e-05,2.5153878670014794e-32
6.613177890219758e-05,2.4308033168289987e-32
6.651375336568135e-05,2.349072331563874e-32
6.689793409812047e-05,2.2700984297829095e-32
6.728433384283451e-05,2.1937883970615356e-32
6.76729654167483e-05,2.1200521752368304e-32
6.806384171081621e-05,2.048802755426861e-32
6.845697569045078e-05,1.9799560746781956e-32
6.88523803959518e-05,1.9134309161192813e-32
6.925006894293933e-05,1.8491488125000515e-32
6.965005452278913e-05,1.7870339530031479e-32
7.005235040306923e-05,1.7270130932159313e-32
7.04569699279812e-05,1.6690154681554888e-32
7.086392651880154e-05,1.6129727082437252e-32
7.127323367432816e-05,1.5588187581317313e-32
7.168490497132681e-05,1.5064897982774462e-32
7.209895406498272e-05,1.455924169182528e-32
7.251539468935248e-05,1.4070622981988065e-32
7.293424065781998e-05,1.3598466288166748e-32
7.335550586355516e-05,1.3142215523513852e-32
7.377920427997371e-05,1.270133341946059e-32
7.420534996120181e-05,1.2275300888124032e-32
7.463395704254126e-05,1.1863616406336767e-32
7.506503974093876e-05,1.1465795420561724e-32
7.549861235545798e-05,1.1081369771984997e-32
7.593468926775283e-05,1.0709887141103616e-32
7.637328494254563e-05,1.0350910511143301e-32
7.68144139281059e-05,1.0004017649671494e-32
7.725809085673338e-05,9.668800607784987e-33
7.770433044524385e-05,9.34486523627738e-33
7.815314749545617e-05,9.031830718211496e-33
7.860455689468456e-05,8.729329117337064e-33
7.905857361623111e-05,8.437004941820111e-33
