f_Hz,Sn_1_per_Hz,model
0.00024643369895523034,1.2673927832293677e-35,RCL2019_10yr_inst-only
0.00024748592569361186,1.2386380335541312e-35,RCL2019_10yr_inst-only
0.00024854264524735753,1.2105544618807248e-35,RCL2019_10yr_inst-only
0.00024960387679996617,1.1831260496715671e-35,RCL2019_10yr_inst-only
0.0002506696396168457,1.1563371671222322e-35,RCL2019_10yr_inst-only
0.00025173995304566464,1.1301725636128955e-35,RCL2019_10yr_inst-only
0.0002528148365167017,1.1046173583964295e-35,RCL2019_10yr_inst-only
0.0002538943095432002,1.0796570315170692e-35,RCL2019_10yr_inst-only
0.0002549783917217208,1.0552774149540828e-35,RCL2019_10yr_inst-only
0.00025606710273249776,1.0314646839846956e-35,RCL2019_10yr_inst-only
0.0002571604623397972,1.0082053487608593e-35,RCL2019_10yr_inst-only
0.0002582584903922738,9.854862460946021e-36,RCL2019_10yr_inst-only
0.00025936120682333374,9.632945314466122e-36,RCL2019_10yr_inst-only
0.00026046863165149383,9.416176711131839e-36,RCL2019_10yr_inst-only
0.00026158078498074753,9.204434346063879e-36,RCL2019_10yr_inst-only
0.0002626976870009277,8.997598872228432e-36,RCL2019_10yr_inst-only
0.0002638193579880743,8.795553827962431e-36,RCL2019_10yr_inst-only
0.00026494581830480287,8.59818556629129e-36,RCL2019_10yr_inst-only
0.00026607708840067267,8.405383185994903e-36,RCL2019_10yr_inst-only
0.0002672131888125598,8.217038464377226e-36,RCL2019_10yr_inst-only
0.00026835414016502797,8.033045791698409e-36,RCL2019_10yr_inst-only
0.00026949996317070517,7.853302107226769e-36,RCL2019_10yr_inst-only
0.00027065067863065763,7.677706836871663e-36,RCL2019_10yr_inst-only
0.0002718063074347684,7.506161832356702e-36,RCL2019_10yr_inst-only
0.0002729668705621172,7.338571311895604e-36,RCL2019_10yr_inst-only
0.0002741323890813596,7.174841802333651e-36,RCL2019_10yr_inst-only
0.0002753028841511115,7.014882082717199e-36,RCL2019_10yr_inst-only
0.0002764783770203311,6.858603129257118e-36,RCL2019_10yr_inst-only
0.00027765888902870695,6.705918061650146e-36,RCL2019_10yr_inst-only
0.0002788444416070432,6.55674209072566e-36,RCL2019_10yr_inst-only
0.00028003505627764973,6.410992467383838e-36,RCL2019_10yr_inst-only
0.00028123075465473355,6.268588432793746e-36,RCL2019_10yr_inst-only
0.00028243155844478914,6.129451169820113e-36,RCL2019_10yr_inst-only
0.00028363748944699497,5.993503755647547e-36,RCL2019_10yr_inst-only
0.00028484856955360695,5.860671115573488e-36,RCL2019_10yr_inst-only
0.0002860648207503578,5.730879977939784e-36,RCL2019_10yr_inst-only
0.00028728626511685467,5.6040588301755866e-36,RCL2019_10yr_inst-only
0.00028851292482698045,5.4801378759232075e-36,RCL2019_10yr_inst-only
0.0002897448221492974,5.3590489932203573e-36,RCL2019_10yr_inst-only
0.0002909819794474493,5.240725693712839e-36,RCL2019_10yr_inst-only
0.00029222441918056965,5.1251030828713517e-36,RCL2019_10yr_inst-only
0.00029347216390368725,5.012117821188392e-36,RCL2019_10yr_inst-only
0.0002947252362681379,4.901708086330053e-36,RCL2019_10yr_inst-only
0.0002959836590219736,4.793813536219826e-36,RCL2019_10yr_inst-only
0.00029724745501037627,4.688375273030656e-36,RCL2019_10yr_inst-only
0.00029851664717607355,4.585335808062959e-36,RCL2019_10yr_inst-only
0.00029979125855975313,4.484639027486892e-36,RCL2019_10yr_inst-only
0.00030107131230048336,4.386230158926806e-36,RCL2019_10yr_inst-only
0.000302356831636131,4.290055738867753e-36,RCL2019_10yr_inst-only
0.0003036478399037854,4.1960635808629476e-36,RCL2019_10yr_inst-only
0.0003049443605401802,4.104202744522948e-36,RCL2019_10yr_inst-only
0.00030624641708211953,4.014423505266749e-36,RCL2019_10yr_inst-only
0.00030755403316690626,3.926677324816012e-36,RCL2019_10yr_inst-only
0.0003088672325327691,3.84091682241428e-36,RCL2019_10yr_inst-only
0.0003101860390192956,3.7570957467527144e-36,RCL2019_10yr_inst-only
0.0003115104765678631,3.675168948585422e-36,RCL2019_10yr_inst-only
