freq_Hz,h_c
2.02140263e-04,4.34880054e-20
2.03307817e-04,4.29229092e-20
2.04482115e-04,4.23656539e-20
2.05663195e-04,4.18161279e-20
2.06851097e-04,4.12742209e-20
2.08045861e-04,4.07398244e-20
2.09247525e-04,4.02128313e-20
2.10456130e-04,3.96931361e-20
2.11671716e-04,3.91806349e-20
2.12894324e-04,3.86752251e-20
2.14123993e-04,3.81768058e-20
2.15360764e-04,3.76852772e-20
2.16604679e-04,3.72005413e-20
2.17855779e-04,3.67225013e-20
2.19114105e-04,3.62510618e-20
2.20379699e-04,3.57861288e-20
2.21652603e-04,3.53276096e-20
2.22932860e-04,3.48754129e-20
2.24220511e-04,3.44294486e-20
2.25515599e-04,3.39896280e-20
2.26818168e-04,3.35558637e-20
2.28128261e-04,3.31280692e-20
2.29445920e-04,3.27061598e-20
2.30771191e-04,3.22900516e-20
2.32104116e-04,3.18796619e-20
2.33444740e-04,3.14749095e-20
2.34793107e-04,3.10757141e-20
2.36149262e-04,3.06819966e-20
2.37513251e-04,3.02936790e-20
2.38885118e-04,2.99106844e-20
2.40264908e-04,2.95329373e-20
2.41652669e-04,2.91603629e-20
2.43048445e-04,2.87928875e-20
2.44452283e-04,2.84304388e-20
2.45864229e-04,2.80729451e-20
2.47284331e-04,2.77203361e-20
2.48712635e-04,2.73725422e-20
2.50149189e-04,2.70294950e-20
2.51594041e-04,2.66911269e-20
2.53047238e-04,2.63573716e-20
2.54508828e-04,2.60281634e-20
2.55978861e-04,2.57034376e-20
2.57457384e-04,2.53831306e-20
2.58944448e-04,2.50671796e-20
2.60440100e-04,2.47555227e-20
2.61944392e-04,2.44480988e-20
2.63457372e-04,2.41448480e-20
2.64979091e-04,2.38457108e-20
2.66509599e-04,2.35506288e-20
2.68048948e-04,2.32595446e-20
2.69597188e-04,2.29724013e-20
2.71154370e-04,2.26891429e-20
2.72720547e-04,2.24097144e-20
2.74295770e-04,2.21340614e-20
2.75880091e-04,2.18621304e-20
2.77473563e-04,2.15938684e-20
2.79076239e-04,2.13292235e-20
2.80688172e-04,2.10681444e-20
2.82309415e-04,2.08105804e-20
2.83940023e-04,2.05564819e-20
2.85580049e-04,2.03057996e-20
2.87229548e-04,2.00584851e-20
2.88888574e-04,1.98144907e-20
2.90557183e-04,1.95737694e-20
2.92235429e-04,1.93362748e-20
2.93923369e-04,1.91019612e-20
2.95621058e-04,1.88707835e-20
2.97328554e-04,1.86426975e-20
2.99045911e-04,1.84176592e-20
3.00773188e-04,1.81956256e-20
3.02510442e-04,1.79765541e-20
3.04257730e-04,1.77604030e-20
3.06015110e-04,1.75471308e-20
3.07782641e-04,1.73366968e-20
3.09560381e-04,1.71290611e-20
3.11348389e-04,1.69241839e-20
3.13146725e-04,1.67220263e-20
3.14955448e-04,1.65225500e-20
3.16774618e-04,1.63257170e-20
3.18604295e-04,1.61314900e-20
3.20444540e-04,1.59398323e-20
3.22295415e-04,1.57507076e-20
3.24156980e-04,1.55640802e-20
3.26029298e-04,1.53799148e-20
3.27912430e-04,1.51981768e-20
3.29806438e-04,1.50188318e-20
3.31711387e-04,1.48418463e-20
3.33627338e-04,1.46671870e-20
3.35554356e-04,1.44948211e-20
3.37492505e-04,1.43247164e-20
3.39441848e-04,1.41568409e-20
3.41402450e-04,1.39911634e-20
3.43374377e-04,1.38276530e-20
3.45357693e-04,1.36662792e-20
3.47352465e-04,1.35070119e-20
3.49358759e-04,1.33498216e-20
3.51376641e-04,1.31946791e-20
3.53406178e-04,1.30415556e-20
3.55447438e-04,1.28904229e-20
3.57500487e-04,1.27412529e-20
3.59565396e-04,1.25940183e-20
3.61642231e-04,1.24486918e-20
3.63731062e-04,1.23052467e-20
3.65831957e-04,1.21636567e-20
3.67944988e-04,1.20238958e-20
3.70070223e-04,1.18859384e-20
3.72207734e-04,1.17497593e-20
3.74357590e-04,1.16153336e-20
3.76519865e-04,1.14826368e-20
3.78694628e-04,1.13516449e-20
3.80881953e-04,1.12223339e-20
3.83081912e-04,1.10946804e-20
3.85294577e-04,1.09686613e-20
3.87520023e-04,1.08442538e-20
3.89758323e-04,1.07214355e-20
3.92009551e-04,1.06001843e-20
3.94273782e-04,1.04804782e-20
3.96551091e-04,1.03622959e-20
3.98841554e-04,1.02456161e-20
4.01145247e-04,1.01304180e-20
4.03462246e-04,1.00166809e-20
4.05792627e-04,9.90438467e-21
4.08136469e-04,9.79350922e-21
4.10493848e-04,9.68403489e-21
4.12864844e-04,9.57594224e-21
4.15249535e-04,9.46921216e-21
4.17647999e-04,9.36382578e-21
4.20060317e-04,9.25976451e-21
4.22486568e-04,9.15701005e-21
4.24926834e-04,9.05554433e-21
4.27381194e-04,8.95534957e-21
4.29849730e-04,8.85640823e-21
4.32332525e-04,8.75870303e-21
4.34829660e-04,8.66221694e-21
4.37341218e-04,8.56693318e-21
4.39867283e-04,8.47283520e-21
4.42407939e-04,8.37990670e-21
4.44963269e-04,8.28813162e-21
4.47533359e-04,8.19749412e-21
4.50118293e-04,8.10797858e-21
4.52718158e-04,8.01956965e-21
4.55333040e-04,7.93225214e-21
4.57963025e-04,7.84601113e-21
4.60608201e-04,7.76083190e-21
4.63268655e-04,7.67669992e-21
4.65944476e-04,7.59360091e-21
4.68635752e-04,7.51152077e-21
4.71342573e-04,7.43044560e-21
4.74065029e-04,7.35036173e-21
4.76803209e-04,7.27125565e-21
4.79557205e-04,7.19311408e-21
4.82327108e-04,7.11592390e-21
4.85113010e-04,7.03967221e-21
4.87915003e-04,6.96434628e-21
4.90733180e-04,6.88993355e-21
4.93567635e-04,6.81642167e-21
4.96418461e-04,6.74379846e-21
4.99285754e-04,6.67205190e-21
5.02169608e-04,6.60117016e-21
5.05070119e-04,6.53114158e-21
5.07987384e-04,6.46195466e-21
5.10921498e-04,6.39359806e-21
5.13872560e-04,6.32606064e-21
5.16840667e-04,6.25933137e-21
5.19825918e-04,6.19339942e-21
5.22828411e-04,6.12825410e-21
5.25848247e-04,6.06388486e-21
5.28885525e-04,6.00028133e-21
5.31940346e-04,5.93743327e-21
5.35012812e-04,5.87533059e-21
5.38103024e-04,5.81396337e-21
5.41211085e-04,5.75332178e-21
5.44337098e-04,5.69339620e-21
5.47481167e-04,5.63417708e-21
5.50643396e-04,5.57565506e-21
5.53823890e-04,5.51782089e-21
5.57022754e-04,5.46066545e-21
5.60240095e-04,5.40417977e-21
5.63476019e-04,5.34835500e-21
5.66730634e-04,5.29318241e-21
5.70004047e-04,5.23865339e-21
5.73296367e-04,5.18475949e-21
5.76607703e-04,5.13149233e-21
5.79938166e-04,5.07884370e-21
5.83287865e-04,5.02680547e-21
5.86656912e-04,4.97536964e-21
5.90045419e-04,4.92452834e-21
5.93453497e-04,4.87427378e-21
5.96881260e-04,4.82459831e-21
6.00328822e-04,4.77549439e-21
6.03796297e-04,4.72695457e-21
6.07283800e-04,4.67897150e-21
6.10791446e-04,4.63153798e-21
6.14319353e-04,4.58464686e-21
6.17867636e-04,4.53829112e-21
6.21436415e-04,4.49246384e-21
6.25025806e-04,4.44715820e-21
6.28635930e-04,4.40236746e-21
6.32266905e-04,4.35808499e-21
6.35918853e-04,4.31430427e-21
6.39591895e-04,4.27101883e-21
6.43286151e-04,4.22822234e-21
6.47001746e-04,4.18590852e-21
6.50738802e-04,4.14407122e-21
6.54497443e-04,4.10270433e-21
6.58277793e-04,4.06180188e-21
6.62079979e-04,4.02135793e-21
6.65904126e-04,3.98136667e-21
6.69750361e-04,3.94182234e-21
6.73618812e-04,3.90271929e-21
6.77509607e-04,3.86405192e-21
6.81422875e-04,3.82581474e-21
6.85358746e-04,3.78800232e-21
6.89317350e-04,3.75060931e-21
6.93298819e-04,3.71363042e-21
6.97303284e-04,3.67706047e-21
7.01330880e-04,3.64089433e-21
7.05381739e-04,3.60512694e-21
7.09455995e-04,3.56975332e-21
7.13553784e-04,3.53476855e-21
7.17675241e-04,3.50016780e-21
7.21820504e-04,3.46594629e-21
7.25989710e-04,3.43209930e-21
7.30182997e-04,3.39862221e-21
7.34400504e-04,3.36551043e-21
7.38642372e-04,3.33275945e-21
7.42908740e-04,3.30036481e-21
7.47199751e-04,3.26832215e-21
7.51515546e-04,3.23662712e-21
7.55856269e-04,3.20527546e-21
7.60222064e-04,3.17426297e-21
7.64613076e-04,3.14358551e-21
7.69029450e-04,3.11323897e-21
7.73471333e-04,3.08321934e-21
7.77938872e-04,3.05352264e-21
7.82432215e-04,3.02414494e-21
7.86951512e-04,2.99508239e-21
7.91496912e-04,2.96633116e-21
7.96068566e-04,2.93788750e-21
8.00666625e-04,2.90974771e-21
8.05291243e-04,2.88190812e-21
8.09942573e-04,2.85436514e-21
8.14620768e-04,2.82711520e-21
8.19325984e-04,2.80015481e-21
8.24058378e-04,2.77348050e-21
8.28818105e-04,2.74708887e-21
8.33605325e-04,2.72097655e-21
8.38420196e-04,2.69514023e-21
8.43262876e-04,2.66957664e-21
8.48133528e-04,2.64428254e-21
8.53032313e-04,2.61925476e-21
8.57959393e-04,2.59449016e-21
8.62914932e-04,2.56998565e-21
