freq_Hz,Sn_1_per_Hz,hc_sensitivity
4.029977777567888e-05,4.655916188125892e-31,4.331655430936992e-18
4.053254765197611e-05,4.498389381563736e-31,4.2700255498694086e-18
4.07666619976054e-05,4.346199183626467e-31,4.209275865195446e-18
4.100212857816705e-05,4.199164647760663e-31,4.149393796789795e-18
4.123895520411484e-05,4.057110966237268e-31,4.090366944355748e-18
4.1477149731015736e-05,3.9198692618041318e-31,4.0321830848543585e-18
4.17167200598098e-05,3.7872763864123596e-31,3.974830169970692e-18
4.195767413707293e-05,3.6591747267746484e-31,3.918296323615961e-18
4.22000199552799e-05,3.535412016525184e-31,3.862569839465678e-18
4.2443765553069674e-05,3.4158411547557245e-31,3.807639178532792e-18
4.268891901551232e-05,3.3003200307119122e-31,3.753492966775533e-18
4.29354884743766e-05,3.1887113544409927e-31,3.700119992739628e-18
4.318348210840039e-05,3.080882493187905e-31,3.647509205233948e-18
4.343290814356137e-05,2.9767053133457304e-31,3.595649711039663e-18
4.368377485335012e-05,2.8760560277709463e-31,3.544530772651953e-18
4.393609055904483e-05,2.778815048281745e-31,3.494141806054003e-18
4.4189863629986705e-05,2.6848668431637665e-31,3.444472378523012e-18
4.4445102483858285e-05,2.5940997995123537e-31,3.3955122064672775e-18
4.470181558696193e-05,2.506406090248205e-31,3.3472511532944986e-18
4.496001145450139e-05,2.421681545646664e-31,3.2996792273102645e-18
4.521969865086361e-05,2.3398255292284054e-31,3.252786579646841e-18
4.5480885789903075e-05,2.2607408178626675e-31,3.2065635022214054e-18
4.574358153522784e-05,2.184333485940299e-31,3.1610004257234534e-18
4.600779460048622e-05,2.1105127934787546e-31,3.116087917631159e-18
4.627353374965658e-05,2.039191078024807e-31,3.0718166802558305e-18
4.654080779733731e-05,1.9702836502269249e-31,3.028177548814592e-18
4.680962560903992e-05,1.903708692951841e-31,2.985161489530347e-18
4.707999610148248e-05,1.8393871638258175e-31,2.9427595977591578e-18
4.7351928242885654e-05,1.7772427010836774e-31,2.90096309614422e-18
4.7625431053270476e-05,1.7172015326135764e-31,2.8597633327962347e-18
4.790051360475687e-05,1.659192388089237e-31,2.819151779499953e-18
4.8177185021865325e-05,1.6031464140842543e-31,2.7791200299461167e-18
4.8455454481818935e-05,1.5489970920678982e-31,2.7396597979889023e-18
4.873533121484802e-05,1.4966801591840572e-31,2.700762915928136e-18
4.901682450449665e-05,1.4461335317190418e-31,2.6624213328160555e-18
4.9299943687929886e-05,1.3972972311671442e-31,2.6246271127884158e-18
4.9584698156244234e-05,1.3501133128053314e-31,2.5873724334192654e-18
4.987109735477843e-05,1.3045257966923813e-31,2.550649584099424e-18
5.015915078342748e-05,1.260480601009681e-31,2.51445096443796e-18
5.044886799695699e-05,1.2179254776646532e-31,2.478769082686705e-18
5.0740258605320947e-05,1.1768099500795355e-31,2.443596554187095e-18
5.1033332273979684e-05,1.1370852530917801e-31,2.4089260998394098e-18
5.1328098724220876e-05,1.0987042748940064e-31,2.374750544593749e-18
5.162456773348225e-05,1.0616215009444444e-31,2.3410628159626036e-18
5.192274913567521e-05,1.0257929597810845e-31,2.3078559425547993e-18
5.222265282151184e-05,9.911761706745832e-32,2.275123052630216e-18
5.2524288738832276e-05,9.577300930578981e-32,2.2428573726753502e-18
5.282766689293496e-05,9.25415077672018e-32,2.211052225999126e-18
5.3132797346908855e-05,8.941928193696511e-32,2.179701031348766e-18
5.3439690221966477e-05,8.640263115207224e-32,2.1487973015455812e-18
5.374835569778051e-05,8.348798019649944e-32,2.118334642140072e-18
5.405880401282055e-05,8.067187504596642e-32,2.088306750086454e-18
5.437104546469363e-05,7.795097875708226e-32,2.058707412435941e-18
5.468509041048491e-05,7.532206749601052e-32,2.029530505048885e-18
5.5000949267102066e-05,7.278202670188547e-32,2.000769991325157e-18
5.531863251162011e-05,7.032784738043503e-32,1.9724199209528357e-18
5.563815068162918e-05,6.795662252336728e-32,1.9444744286746752e-18
5.5959514375584475e-05,6.56655436492605e-32,1.9169277330722103e-18
5.628273425315696e-05,6.345189746184153e-32,1.8897741353673435e-18
5.66078210355879e-05,6.131306262164625e-32,1.863008018240916e-18
5.693478550604366e-05,5.924650662723781e-32,1.8366238446683032e-18
5.726363850997374e-05,5.724978280224517e-32,1.8106161567715777e-18
5.7594390955470855e-05,5.532052738463643e-32,1.784979574688064e-18
5.792705381363196e-05,5.345645671476516e-32,1.759708795455171e-18
5.826163811892308e-05,5.165536451881837e-32,1.7347985919110193e-18
5.8598154969544416e-05,4.991511928445031e-32,1.7102438116109394e-18
5.893661552779937e-05,4.823366172545075e-32,1.6860393757593038e-18
5.927703102046402e-05,4.6609002332446844e-32,1.6621802781567743e-18
5.961941273915982e-05,4.5039219006701414e-32,1.6386615841624968e-18
5.996377204072855e-05,4.352245477419495e-32,1.6154784296711437e-18
6.031012034760816e-05,4.2056915577270845e-32,1.5926260201046574e-18
6.0658469148212616e-05,4.064086814119798e-32,1.5700996294182846e-18
6.100882999731202e-05,3.927263791312439e-32,1.547894599120947e-18
6.136121451641682e-05,3.7950607070948813e-32,1.5260063373094934e-18
6.17156343941625e-05,3.667321259975192e-32,1.5044303177168702e-18
6.20721013866976e-05,3.5438944433482614e-32,1.4831620787738188e-18
6.24306273180741e-05,3.4246343659689873e-32,1.462197222683995e-18
6.279122408063868e-05,3.309400078516376e-32,1.4415314145123754e-18
6.315390363542825e-05,3.19805540604086e-32,1.421160381286591e-18
6.351867801256583e-05,3.090468786096351e-32,1.401079911111209e-18
6.38855593116599e-05,2.98651311236314e-32,1.3812858522946124e-18
6.42545597022062e-05,2.8860655835756503e-32,1.3617741124883531e-18
6.462569142399045e-05,2.789007557575425e-32,1.3425406578388853e-18
6.49989667874954e-05,2.6952244103144525e-32,1.3235815121513143e-18
6.537439817430813e-05,2.6046053996419676e-32,1.3048927560652138e-18
6.575199803753178e-05,2.517043533711278e-32,1.2864705262421134e-18
6.613177890219758e-05,2.432435443850901e-32,1.2683110145647108e-18
6.651375336568135e-05,2.350681261747469e-32,1.250410467347422e-18
6.689793409812047e-05,2.27168450079507e-32,1.2327651845583177e-18
6.728433384283451e-05,2.1953519414688442e-32,1.2153715190521152e-18
6.76729654167483e-05,2.1215935205866207e-32,1.1982258758141374e-18
6.806384171081621e-05,2.050322224326877e-32,1.181324711215139e-18
6.845697569045078e-05,1.9814539848749175e-32,1.164664532276694e-18
6.88523803959518e-05,1.9149075805749217e-32,1.1482418959471746e-18
6.925006894293933e-05,1.8506045394682603e-32,1.1320534083880209e-18
6.965005452278913e-05,1.788469046103442e-32,1.1160957242702141e-18
7.005235040306923e-05,1.7284278515068697e-32,1.1003655460808618e-18
7.04569699279812e-05,1.6704101862066244e-32,1.0848596234396117e-18
7.086392651880154e-05,1.6143476762063486e-32,1.0695747524249284e-18
7.127323367432816e-05,1.5601742618084294e-32,1.0545077749099085e-18
7.168490497132681e-05,1.5078261191904977e-32,1.0396555779076807e-18
7.209895406498272e-05,1.4572415846411572e-32,1.025015092926077e-18
7.251539468935248e-05,1.4083610813653136e-32,1.010583295331607e-18
7.293424065781998e-05,1.3611270487714635e-32,9.963572037224711e-19
7.335550586355516e-05,1.3154838741569104e-32,9.823338793105403e-19
7.377920427997371e-05,1.2713778267097088e-32,9.685104253122143e-19
7.420534996120181e-05,1.228756993748338e-32,9.548839863479211e-19
7.463395704254126e-05,1.1875712191236396e-32,9.41451747850266e-19
7.506503974093876e-05,1.147772043709296e-32,9.282109354805987e-19
7.549861235545798e-05,1.1093126479101205e-32,9.151588145539158e-19
7.593468926775283e-05,1.0721477961198632e-32,9.02292689472035e-19
7.637328494254563e-05,1.0362337830620291e-32,8.896099031647994e-19
7.68144139281059e-05,1.0015283819502469e-32,8.771078365393415e-19
7.725809085673338e-05,9.67990794406106e-33,8.647839079371705e-19
7.770433044524385e-05,9.355816020749997e-33,8.526355725990233e-19
7.815314749545617e-05,9.042627198824753e-33,8.406603221374104e-19
7.860455689468456e-05,8.739973508751287e-33,8.288556840166304e-19
7.905857361623111e-05,8.447499425926865e-33,8.172192210402966e-19
7.951521271988373e-05,8.164861449189268e-33,8.057485308461088e-19
7.997448935241442e-05,7.891727693616602e-33,7.94441245407925e-19
8.043641874808295e-05,7.627777497129367e-33,7.832950305448783e-19
8.090101622914111e-05,7.372701040429792e-33,7.723075854375743e-19
8.136829720634132e-05,7.126198979823587e-33,7.61476642151164e-19
8.183827717944845e-05,6.887982092488062e-33,7.507999651652332e-19
8.231097173775265e-05,6.657770933765391e-33,7.4027535091045295e-19
8.278639656058789e-05,6.435295506070822e-33,7.299006273117925e-19
8.326456741785082e-05,6.220294939024575e-33,7.196736533383225e-19
8.374550017052435e-05,6.0125171804245407e-33,7.095923185594133e-19
8.42292107712043e-05,5.811718697692981e-33,6.996545427072786e-19
8.47157152646274e-05,5.6176641894426715e-33,6.898582752458067e-19
8.520502978820473e-05,5.4301263068175286e-33,6.802014949455063e-19
8.569717057255578e-05,5.2488853842782555e-33,6.706822094645785e-19
8.619215394204809e-05,5.073729179510631e-33,6.61298454935925e-19
8.66899963153374e-05,4.904452622149091e-33,6.520482955601154e-19
8.719071420591362e-05,4.740857571014598e-33,6.429298232041158e-19
8.769432422264742e-05,4.5827525795799624e-33,6.339411570058052e-19
8.820084307034158e-05,4.429952669382158e-33,6.250804429841143e-19
8.871028755028572e-05,4.282279111112575e-33,6.163458536547304e-19
8.922267456081227e-05,4.139559213125584e-33,6.077355876513372e-19
8.97380210978585e-05,4.0016261171123096e-33,5.992478693522123e-19
9.025634425552893e-05,3.8683186006983454e-33,5.908809485122158e-19
9.0777661226663e-05,3.739480886729217e-33,5.826330999000024e-19
9.130198930340576e-05,3.614962459017523e-33,5.745026229404277e-19
9.18293458777803e-05,3.49461788433283e-33,5.664878413620863e-19
9.235974844226608e-05,3.37830664042176e-33,5.585871028498517e-19
9.28932145903776e-05,3.265892949855009e-33,5.507987787024248e-19
9.342976201724962e-05,3.157245619502432e-33,5.431212634947338e-19
9.396940852022246e-05,3.0522378854466723e-33,5.355529747452051e-19
9.451217199943392e-05,2.9507472631496503e-33,5.280923525877445e-19
9.505807045841173e-05,2.852655402695023e-33,5.207378594484487e-19
9.560712200467121e-05,2.757847948933588e-33,5.134879797269122e-19
9.615934485031658e-05,2.6662144063657764e-33,5.063412194820887e-19
9.671475731264365e-05,2.5776480086009368e-33,4.992961061226683e-19
9.727337781474893e-05,2.4920455922374895e-33,4.923511881018437e-19
9.783522488613943e-05,2.4093074750149685e-33,4.855050346164767e-19
9.840031716334782e-05,2.329337338092389e-33,4.787562353105383e-19
9.896867339055124e-05,2.2520421123133967e-33,4.721033999827916e-19
9.95403124201916e-05,2.1773318683232584e-33,4.655451582986731e-19
0.0001001152532136026,2.1051197104065096e-33,4.590801595062604e-19
0.0001006935148416371,2.035321673919902e-33,4.52707072156333e-19
0.00010127511648530081,1.9678566261980783e-33,4.464245838264078e-19
0.00010186007743638809,1.902646170814763e-33,4.402314008487344e-19
0.0001024484170981219,1.839614555085496e-33,4.341262480421736e-19
0.00010304015498579751,1.7786885807020986e-33,4.2810786844790936e-19
