freq_Hz,Sn_1_per_Hz,hc_sensitivity
2.0307376788771838e-05,2.818854396755232e-29,2.3925621903640172e-17
2.0424671370626698e-05,2.723203566935253e-29,2.358400685421605e-17
2.0542643441212696e-05,2.6307994579252316e-29,2.3247274083103524e-17
2.0661296913677087e-05,2.5415318408909276e-29,2.2915353800500607e-17
2.078063572376947e-05,2.455294229901338e-29,2.2588177214253656e-17
2.0900663829972054e-05,2.3719837548234072e-29,2.2265676515596575e-17
2.102138521363107e-05,2.291501038533098e-29,2.1947784865092856e-17
2.1142803879088985e-05,2.2137500782965165e-29,2.1634436378778423e-17
2.1264923853816997e-05,2.1386381311797816e-29,2.1325566114503864e-17
2.1387749188549e-05,2.0660756033500615e-29,2.1021110058470072e-17
2.151128395741558e-05,1.9959759431365164e-29,2.0721005111958247e-17
2.1635532258079515e-05,1.9282555377225733e-29,2.042518907824777e-17
2.176049821187138e-05,1.862833613347014e-29,2.0133600649722742e-17
2.1886185963926394e-05,1.799632138894077e-29,1.9846179395161774e-17
2.2012599683322035e-05,1.738575732757728e-29,1.9562865747209465e-17
2.2139743563216027e-05,1.6795915728691164e-29,1.9283600990028005e-17
2.2267621820985787e-05,1.6226093097792378e-29,1.9008327247123783e-17
2.2396238698367943e-05,1.5675609826937053e-29,1.8736987469349614e-17
2.2525598461599405e-05,1.5143809383587122e-29,1.846952542307692e-17
2.265570540155856e-05,1.4630057527019563e-29,1.82058856785384e-17
2.2786563833907736e-05,1.4133741551344937e-29,1.7946013598336416e-17
2.2918178099236483e-05,1.365426955423342e-29,1.7689855326115695e-17
2.3050552563205235e-05,1.319106973047678e-29,1.7437357775398788e-17
2.3183691616690494e-05,1.274358968953883e-29,1.7188468618579866e-17
2.331759967593014e-05,1.2311295796284359e-29,1.6943136276077113e-17
2.345228118267007e-05,1.1893672534095472e-29,1.670130990563935e-17
2.358774060431166e-05,1.1490221889616653e-29,1.6462939391805502e-17
2.3723982434059624e-05,1.1100462758395319e-29,1.622797533551563e-17
2.3861011191071443e-05,1.0723930370704697e-29,1.5996369043869165e-17
2.3998831420606867e-05,1.0360175736867903e-29,1.5768072520030923e-17
2.4137447694179078e-05,1.0008765111416621e-29,1.5543038453280078e-17
2.4276864609705936e-05,9.669279475448879e-30,1.532122020920269e-17
2.4417086791662887e-05,9.341314036563782e-30,1.5102571820023125e-17
2.4558118891236006e-05,9.024477745780201e-30,1.4887047975074968e-17
2.4699965586476436e-05,8.718392830859367e-30,1.4674604011407232e-17
2.4842631582455694e-05,8.422694345475718e-30,1.4465195904524973e-17
2.4986121611421404e-05,8.13702973369872e-30,1.4258780259262998e-17
2.5130440432954662e-05,7.861058409262933e-30,1.4055314300788847e-17
2.5275592834127557e-05,7.594451349127407e-30,1.3854755865735601e-17
2.542158362966211e-05,7.336890700836408e-30,1.3657063393460652e-17
2.5568417662090134e-05,7.088069403213834e-30,1.3462195917429417e-17
2.5716099801913504e-05,6.847690819939499e-30,1.3270113056723031e-17
2.5864634947766126e-05,6.615468385567286e-30,1.3080775007666234e-17
2.6014028026576e-05,6.391125263565685e-30,1.2894142535576208e-17
2.6164283993729082e-05,6.174394015969389e-30,1.271017696662814e-17
2.6315407833233264e-05,5.965016284250427e-30,1.2528840179838183e-17
2.646740455788388e-05,5.762742481025574e-30,1.2350094599160256e-17
