freq_Hz,h_c
4.41898636e-05,1.08914766e-18
4.44451025e-05,1.07366460e-18
4.47018156e-05,1.05840263e-18
4.49600115e-05,1.04335857e-18
4.52196987e-05,1.02852931e-18
4.54808858e-05,1.01391179e-18
4.57435815e-05,9.99502975e-19
4.60077946e-05,9.85299884e-19
4.62735337e-05,9.71299578e-19
4.65408078e-05,9.57499157e-19
4.68096256e-05,9.43895766e-19
4.70799961e-05,9.30486588e-19
4.73519282e-05,9.17268848e-19
4.76254311e-05,9.04239810e-19
4.79005136e-05,8.91396776e-19
4.81771850e-05,8.78737089e-19
4.84554545e-05,8.66258128e-19
4.87353312e-05,8.53957310e-19
4.90168245e-05,8.41832090e-19
4.92999437e-05,8.29879957e-19
4.95846982e-05,8.18098439e-19
4.98710974e-05,8.06485096e-19
5.01591508e-05,7.95037526e-19
5.04488680e-05,7.83753359e-19
5.07402586e-05,7.72630259e-19
5.10333323e-05,7.61665926e-19
5.13280987e-05,7.50858090e-19
5.16245677e-05,7.40204514e-19
5.19227491e-05,7.29702994e-19
5.22226528e-05,7.19351358e-19
5.25242887e-05,7.09147462e-19
5.28276669e-05,6.99089196e-19
5.31327973e-05,6.89174478e-19
5.34396902e-05,6.79401257e-19
5.37483557e-05,6.69767510e-19
5.40588040e-05,6.60271246e-19
5.43710455e-05,6.50910498e-19
5.46850904e-05,6.41683330e-19
5.50009493e-05,6.32587834e-19
5.53186325e-05,6.23622127e-19
5.56381507e-05,6.14784355e-19
5.59595144e-05,6.06072689e-19
5.62827343e-05,5.97485328e-19
5.66078210e-05,5.89020495e-19
5.69347855e-05,5.80676439e-19
5.72636385e-05,5.72451433e-19
5.75943910e-05,5.64343778e-19
5.79270538e-05,5.56351796e-19
5.82616381e-05,5.48473833e-19
5.85981550e-05,5.40708261e-19
5.89366155e-05,5.33053473e-19
5.92770310e-05,5.25507887e-19
5.96194127e-05,5.18069941e-19
5.99637720e-05,5.10738098e-19
6.03101203e-05,5.03510841e-19
6.06584691e-05,4.96386676e-19
6.10088300e-05,4.89364130e-19
6.13612145e-05,4.82441750e-19
6.17156344e-05,4.75618106e-19
6.20721014e-05,4.68891786e-19
6.24306273e-05,4.62261399e-19
6.27912241e-05,4.55725575e-19
6.31539036e-05,4.49282963e-19
6.35186780e-05,4.42932230e-19
6.38855593e-05,4.36672065e-19
6.42545597e-05,4.30501171e-19
6.46256914e-05,4.24418275e-19
6.49989668e-05,4.18422117e-19
6.53743982e-05,4.12511460e-19
6.57519980e-05,4.06685082e-19
6.61317789e-05,4.00941777e-19
6.65137534e-05,3.95280360e-19
6.68979341e-05,3.89699659e-19
6.72843338e-05,3.84198522e-19
6.76729654e-05,3.78775812e-19
6.80638417e-05,3.73430408e-19
6.84569757e-05,3.68161205e-19
6.88523804e-05,3.62967115e-19
6.92500689e-05,3.57847065e-19
6.96500545e-05,3.52799996e-19
7.00523504e-05,3.47824866e-19
7.04569699e-05,3.42920647e-19
7.08639265e-05,3.38086326e-19
7.12732337e-05,3.33320904e-19
7.16849050e-05,3.28623396e-19
7.20989541e-05,3.23992832e-19
7.25153947e-05,3.19428256e-19
7.29342407e-05,3.14928725e-19
7.33555059e-05,3.10493310e-19
7.37792043e-05,3.06121094e-19
7.42053500e-05,3.01811174e-19
7.46339570e-05,2.97562661e-19
7.50650397e-05,2.93374677e-19
7.54986124e-05,2.89246357e-19
7.59346893e-05,2.85176850e-19
7.63732849e-05,2.81165313e-19
7.68144139e-05,2.77210920e-19
7.72580909e-05,2.73312854e-19
7.77043304e-05,2.69470310e-19
7.81531475e-05,2.65682495e-19
7.86045569e-05,2.61948627e-19
7.90585736e-05,2.58267936e-19
7.95152127e-05,2.54639661e-19
7.99744894e-05,2.51063053e-19
8.04364187e-05,2.47537376e-19
8.09010162e-05,2.44061900e-19
8.13682972e-05,2.40635909e-19
8.18382772e-05,2.37258695e-19
8.23109717e-05,2.33929563e-19
8.27863966e-05,2.30647825e-19
