freq_Hz,h_c_instrument_only,h_c_instrument_plus_confusion
3.78258673e-05,5.07121592e-18,5.07121592e-18
3.80443480e-05,4.99901819e-18,4.99901819e-18
3.82640906e-05,4.92785167e-18,4.92785167e-18
3.84851024e-05,4.85770162e-18,4.85770162e-18
3.87073908e-05,4.78855351e-18,4.78855351e-18
3.89309631e-05,4.72039303e-18,4.72039303e-18
3.91558267e-05,4.65320606e-18,4.65320606e-18
3.93819892e-05,4.58697868e-18,4.58697868e-18
3.96094580e-05,4.52169717e-18,4.52169717e-18
3.98382406e-05,4.45734803e-18,4.45734803e-18
4.00683446e-05,4.39391791e-18,4.39391791e-18
4.02997778e-05,4.33139370e-18,4.33139370e-18
4.05325477e-05,4.26976243e-18,4.26976243e-18
4.07666620e-05,4.20901135e-18,4.20901135e-18
4.10021286e-05,4.14912788e-18,4.14912788e-18
4.12389552e-05,4.09009961e-18,4.09009961e-18
4.14771497e-05,4.03191433e-18,4.03191433e-18
4.17167201e-05,3.97455998e-18,3.97455998e-18
4.19576741e-05,3.91802469e-18,3.91802469e-18
4.22000200e-05,3.86229676e-18,3.86229676e-18
4.24437656e-05,3.80736463e-18,3.80736463e-18
4.26889190e-05,3.75321695e-18,3.75321695e-18
4.29354885e-05,3.69984249e-18,3.69984249e-18
4.31834821e-05,3.64723021e-18,3.64723021e-18
4.34329081e-05,3.59536921e-18,3.59536921e-18
4.36837749e-05,3.54424876e-18,3.54424876e-18
4.39360906e-05,3.49385827e-18,3.49385827e-18
4.41898636e-05,3.44418731e-18,3.44418731e-18
4.44451025e-05,3.39522559e-18,3.39522559e-18
4.47018156e-05,3.34696298e-18,3.34696298e-18
4.49600115e-05,3.29938949e-18,3.29938949e-18
4.52196987e-05,3.25249527e-18,3.25249527e-18
4.54808858e-05,3.20627060e-18,3.20627060e-18
4.57435815e-05,3.16070593e-18,3.16070593e-18
4.60077946e-05,3.11579181e-18,3.11579181e-18
4.62735337e-05,3.07151896e-18,3.07151896e-18
4.65408078e-05,3.02787819e-18,3.02787820e-18
4.68096256e-05,2.98486049e-18,2.98486049e-18
4.70799961e-05,2.94245695e-18,2.94245695e-18
4.73519282e-05,2.90065879e-18,2.90065879e-18
4.76254311e-05,2.85945735e-18,2.85945735e-18
4.79005136e-05,2.81884411e-18,2.81884411e-18
4.81771850e-05,2.77881067e-18,2.77881067e-18
4.84554545e-05,2.73934873e-18,2.73934873e-18
4.87353312e-05,2.70045013e-18,2.70045013e-18
4.90168245e-05,2.66210681e-18,2.66210681e-18
4.92999437e-05,2.62431085e-18,2.62431085e-18
4.95846982e-05,2.58705442e-18,2.58705442e-18
4.98710974e-05,2.55032980e-18,2.55032980e-18
5.01591508e-05,2.51412941e-18,2.51412941e-18
5.04488680e-05,2.47844574e-18,2.47844574e-18
5.07402586e-05,2.44327141e-18,2.44327141e-18
5.10333323e-05,2.40859914e-18,2.40859914e-18
5.13280987e-05,2.37442176e-18,2.37442176e-18
5.16245677e-05,2.34073220e-18,2.34073220e-18
5.19227491e-05,2.30752348e-18,2.30752348e-18
5.22226528e-05,2.27478873e-18,2.27478873e-18
5.25242887e-05,2.24252118e-18,2.24252118e-18
5.28276669e-05,2.21071415e-18,2.21071415e-18
5.31327973e-05,2.17936105e-18,2.17936105e-18
5.34396902e-05,2.14845542e-18,2.14845542e-18
5.37483557e-05,2.11799084e-18,2.11799084e-18
5.40588040e-05,2.08796101e-18,2.08796101e-18
5.43710455e-05,2.05835973e-18,2.05835973e-18
5.46850904e-05,2.02918086e-18,2.02918086e-18
5.50009493e-05,2.00041837e-18,2.00041837e-18
5.53186325e-05,1.97206632e-18,1.97206632e-18
5.56381507e-05,1.94411883e-18,1.94411883e-18
5.59595144e-05,1.91657013e-18,1.91657013e-18
5.62827343e-05,1.88941450e-18,1.88941450e-18
5.66078210e-05,1.86264635e-18,1.86264635e-18
5.69347855e-05,1.83626013e-18,1.83626013e-18
5.72636385e-05,1.81025038e-18,1.81025038e-18
5.75943910e-05,1.78461172e-18,1.78461172e-18
5.79270538e-05,1.75933885e-18,1.75933885e-18
5.82616381e-05,1.73442655e-18,1.73442655e-18
5.85981550e-05,1.70986965e-18,1.70986965e-18
5.89366155e-05,1.68566309e-18,1.68566309e-18
5.92770310e-05,1.66180185e-18,1.66180185e-18
5.96194127e-05,1.63828100e-18,1.63828100e-18
5.99637720e-05,1.61509568e-18,1.61509568e-18
6.03101203e-05,1.59224108e-18,1.59224108e-18
6.06584691e-05,1.56971250e-18,1.56971250e-18
6.10088300e-05,1.54750525e-18,1.54750525e-18
6.13612145e-05,1.52561477e-18,1.52561477e-18
6.17156344e-05,1.50403651e-18,1.50403651e-18
6.20721014e-05,1.48276602e-18,1.48276602e-18
6.24306273e-05,1.46179890e-18,1.46179890e-18
6.27912241e-05,1.44113081e-18,1.44113081e-18
6.31539036e-05,1.42075748e-18,1.42075748e-18
